Line (1599) SphygmoCor Log File 9 ~ 04/08/2009 ~ 16:33:10                                                                                                                                                                                      
1 04/08/2009 ~ 16:50:46 ~ SCOR-CvMS 9 Start - FDS 14721300, DBS 40298,  TPM 515564, APM 143960, ML 72   00050                                                                                                                                  
333 18/08/2009 ~ 10:21:06 ~ Successful PWA measurement for Patient :313, Measurement :18/08/2009 10:21:04 AM, DataRevision :130 , CaptureTime 00:00:27                                                                                         
334 18/08/2009 ~ 10:22:18 ~ SCOR-CvMS 9 (Clinical) End - FDS 78980576, DBS 40338,  TPM 515564, APM 171724, ML 66   00050                                                                                                                       
335 18/08/2009 ~ 10:23:13 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78980480, DBS 40338,  TPM 515564, APM 173804, ML 66   00050                                                                                                                     
336 18/08/2009 ~ 10:24:05 ~ SCOR-CvMS 9 (Clinical) End - FDS 78980480, DBS 40338,  TPM 515564, APM 160204, ML 68   00050                                                                                                                       
337 18/08/2009 ~ 10:33:15 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78980480, DBS 40338,  TPM 515564, APM 163156, ML 68   00050                                                                                                                     
338 18/08/2009 ~ 10:36:52 ~ SCOR-CvMS 9 (Clinical) End - FDS 78980480, DBS 40338,  TPM 515564, APM 145840, ML 71   00050                                                                                                                       
339 18/08/2009 ~ 10:41:48 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78980480, DBS 40338,  TPM 515564, APM 157860, ML 69   00050                                                                                                                     
340 18/08/2009 ~ 10:46:02 ~ SCOR-CvMS 9 (Clinical) End - FDS 78980480, DBS 40338,  TPM 515564, APM 135912, ML 73   00050                                                                                                                       
341 18/08/2009 ~ 10:48:38 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78980480, DBS 40338,  TPM 515564, APM 140092, ML 72   00050                                                                                                                     
342 18/08/2009 ~ 10:49:23 ~ SCOR-CvMS 9 (Clinical) End - FDS 78980384, DBS 40338,  TPM 515564, APM 129436, ML 74   00050                                                                                                                       
343 18/08/2009 ~ 10:50:15 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78980384, DBS 40338,  TPM 515564, APM 141208, ML 72   00050                                                                                                                     
344 18/08/2009 ~ 10:53:07 ~ SCOR-CvMS 9 (Clinical) End - FDS 78980176, DBS 40338,  TPM 515564, APM 67680, ML 86   00050                                                                                                                        
345 18/08/2009 ~ 10:53:54 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78980176, DBS 40338,  TPM 515564, APM 88916, ML 82   00050                                                                                                                      
346 18/08/2009 ~ 10:55:56 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979520, DBS 40338,  TPM 515564, APM 69380, ML 86   00050                                                                                                                        
347 18/08/2009 ~ 10:57:03 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979520, DBS 40338,  TPM 515564, APM 71340, ML 86   00050                                                                                                                      
348 18/08/2009 ~ 11:08:32 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979312, DBS 40338,  TPM 515564, APM 95732, ML 81   00050                                                                                                                        
349 18/08/2009 ~ 11:10:15 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979312, DBS 40338,  TPM 515564, APM 105356, ML 79   00050                                                                                                                     
350 18/08/2009 ~ 11:18:19 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979184, DBS 40338,  TPM 515564, APM 110376, ML 78   00050                                                                                                                       
351 18/08/2009 ~ 11:20:32 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979184, DBS 40338,  TPM 515564, APM 117204, ML 77   00050                                                                                                                     
352 18/08/2009 ~ 11:21:16 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979184, DBS 40338,  TPM 515564, APM 97264, ML 81   00050                                                                                                                        
353 18/08/2009 ~ 11:22:23 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979184, DBS 40338,  TPM 515564, APM 108772, ML 78   00050                                                                                                                     
354 18/08/2009 ~ 11:40:19 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979600, DBS 40338,  TPM 515564, APM 140280, ML 72   00050                                                                                                                       
355 18/08/2009 ~ 14:27:23 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979344, DBS 40338,  TPM 515564, APM 105920, ML 79   00050                                                                                                                     
356 18/08/2009 ~ 14:30:18 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979184, DBS 40338,  TPM 515564, APM 119144, ML 76   00050                                                                                                                       
357 18/08/2009 ~ 14:35:18 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979152, DBS 40338,  TPM 515564, APM 131828, ML 74   00050                                                                                                                     
358 18/08/2009 ~ 14:38:59 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979024, DBS 40338,  TPM 515564, APM 114192, ML 77   00050                                                                                                                       
359 18/08/2009 ~ 14:39:33 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979016, DBS 40338,  TPM 515564, APM 124260, ML 75   00050                                                                                                                     
360 18/08/2009 ~ 14:40:57 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979016, DBS 40338,  TPM 515564, APM 112140, ML 78   00050                                                                                                                       
361 18/08/2009 ~ 14:43:58 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979016, DBS 40338,  TPM 515564, APM 120812, ML 76   00050                                                                                                                     
362 18/08/2009 ~ 14:45:32 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979016, DBS 40338,  TPM 515564, APM 104696, ML 79   00050                                                                                                                       
363 18/08/2009 ~ 14:47:17 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979016, DBS 40338,  TPM 515564, APM 127464, ML 75   00050                                                                                                                     
364 18/08/2009 ~ 14:48:04 ~ SCOR-CvMS 9 (Clinical) End - FDS 78979016, DBS 40338,  TPM 515564, APM 114864, ML 77   00050                                                                                                                       
365 18/08/2009 ~ 14:50:31 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78979016, DBS 40338,  TPM 515564, APM 127484, ML 75   00050                                                                                                                     
366 18/08/2009 ~ 14:59:24 ~ SCOR-CvMS 9 (Clinical) End - FDS 78978976, DBS 40338,  TPM 515564, APM 122388, ML 76   00050                                                                                                                       
367 18/08/2009 ~ 16:08:31 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78965392, DBS 40338,  TPM 515564, APM 77788, ML 84   00050                                                                                                                      
368 18/08/2009 ~ 16:15:17 ~ SCOR-CvMS 9 (Clinical) End - FDS 78964336, DBS 40338,  TPM 515564, APM 115096, ML 77   00050                                                                                                                       
369 18/08/2009 ~ 16:21:24 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78964240, DBS 40338,  TPM 515564, APM 125924, ML 75   00050                                                                                                                     
370 18/08/2009 ~ 16:27:11 ~ SCOR-CvMS 9 (Clinical) End - FDS 78964048, DBS 40338,  TPM 515564, APM 113012, ML 78   00050                                                                                                                       
371 18/08/2009 ~ 16:46:09 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78964456, DBS 40338,  TPM 515564, APM 95048, ML 81   00050                                                                                                                      
372 18/08/2009 ~ 16:48:18 ~ SCOR-CvMS 9 (Clinical) End - FDS 78964456, DBS 40338,  TPM 515564, APM 83156, ML 83   00050                                                                                                                        
373 18/08/2009 ~ 16:48:50 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78964456, DBS 40338,  TPM 515564, APM 105032, ML 79   00050                                                                                                                     
374 18/08/2009 ~ 16:48:56 ~ SCOR-CvMS 9 (Clinical) End - FDS 78964456, DBS 40338,  TPM 515564, APM 96276, ML 81   00050                                                                                                                        
375 19/08/2009 ~ 16:19:42 ~ SCOR-CvMS 9 (Clinical) Start - FDS 79266936, DBS 40338,  TPM 515564, APM 72360, ML 85   00050                                                                                                                      
376 19/08/2009 ~ 16:21:54 ~ SCOR-CvMS 9 (Clinical) End - FDS 79266928, DBS 40338,  TPM 515564, APM 54144, ML 89   00050                                                                                                                        
377 19/08/2009 ~ 16:30:29 ~ SCOR-CvMS 9 (Clinical) Start - FDS 79266928, DBS 40338,  TPM 515564, APM 55812, ML 89   00050                                                                                                                      
378 19/08/2009 ~ 16:31:21 ~ SCOR-CvMS 9 (Clinical) End - FDS 79266928, DBS 40338,  TPM 515564, APM 42052, ML 91   00050                                                                                                                        
379 19/08/2009 ~ 16:34:37 ~ SCOR-CvMS 9 (Clinical) Start - FDS 79266928, DBS 40338,  TPM 515564, APM 54700, ML 89   00050                                                                                                                      
380 19/08/2009 ~ 16:35:56 ~ SCOR-CvMS 9 (Clinical) End - FDS 79266928, DBS 40338,  TPM 515564, APM 41012, ML 92   00050                                                                                                                        
381 19/08/2009 ~ 16:38:01 ~ SCOR-CvMS 9 (Clinical) Start - FDS 79266768, DBS 40338,  TPM 515564, APM 54192, ML 89   00050                                                                                                                      
382 19/08/2009 ~ 16:38:44 ~ SCOR-CvMS 9 (Clinical) End - FDS 79266768, DBS 40338,  TPM 515564, APM 41768, ML 91   00050                                                                                                                        
383 19/08/2009 ~ 16:39:24 ~ SCOR-CvMS 9 (Clinical) Start - FDS 79266768, DBS 40338,  TPM 515564, APM 54040, ML 89   00050                                                                                                                      
384 19/08/2009 ~ 16:39:46 ~ SCOR-CvMS 9 (Clinical) End - FDS 79266768, DBS 40338,  TPM 515564, APM 41616, ML 91   00050                                                                                                                        
385 19/08/2009 ~ 16:40:35 ~ SCOR-CvMS 9 (Clinical) Start - FDS 79266768, DBS 40338,  TPM 515564, APM 53768, ML 89   00050                                                                                                                      
386 19/08/2009 ~ 16:41:05 ~ SCOR-CvMS 9 (Clinical) End - FDS 79266768, DBS 40338,  TPM 515564, APM 40992, ML 92   00050                                                                                                                        
387 19/08/2009 ~ 16:41:47 ~ SCOR-CvMS 9 (Clinical) Start - FDS 79266768, DBS 40338,  TPM 515564, APM 52604, ML 89   00050                                                                                                                      
388 19/08/2009 ~ 16:55:47 ~ SCOR-CvMS 9 (Clinical) End - FDS 79266464, DBS 40338,  TPM 515564, APM 86220, ML 83   00050                                                                                                                        
389 21/08/2009 ~ 10:04:38 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78358200, DBS 40338,  TPM 515564, APM 114028, ML 77   00050                                                                                                                     
390 21/08/2009 ~ 10:05:49 ~ SCOR-CvMS 9 (Clinical) End - FDS 78358200, DBS 40338,  TPM 515564, APM 138384, ML 73   00050                                                                                                                       
391 21/08/2009 ~ 10:08:13 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78358200, DBS 40338,  TPM 515564, APM 149216, ML 71   00050                                                                                                                     
392 21/08/2009 ~ 10:11:07 ~ SCOR-CvMS 9 (Clinical) End - FDS 78358200, DBS 40338,  TPM 515564, APM 63280, ML 87   00050                                                                                                                        
393 21/08/2009 ~ 10:16:11 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78358192, DBS 40338,  TPM 515564, APM 73000, ML 85   00050                                                                                                                      
394 21/08/2009 ~ 10:17:37 ~ SCOR-CvMS 9 (Clinical) End - FDS 78358192, DBS 40338,  TPM 515564, APM 117104, ML 77   00050                                                                                                                       
395 21/08/2009 ~ 10:19:23 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78358192, DBS 40338,  TPM 515564, APM 144280, ML 72   00050                                                                                                                     
396 21/08/2009 ~ 10:24:19 ~ SCOR-CvMS 9 (Clinical) End - FDS 78357904, DBS 40338,  TPM 515564, APM 145492, ML 71   00050                                                                                                                       
397 21/08/2009 ~ 14:45:30 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78118944, DBS 40338,  TPM 515564, APM 157948, ML 69   00050                                                                                                                     
398 21/08/2009 ~ 14:46:41 ~ SCOR-CvMS 9 (Clinical) End - FDS 78118944, DBS 40338,  TPM 515564, APM 144872, ML 71   00050                                                                                                                       
399 21/08/2009 ~ 14:49:52 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78118944, DBS 40338,  TPM 515564, APM 155616, ML 69   00050                                                                                                                     
400 21/08/2009 ~ 14:52:52 ~ SCOR-CvMS 9 (Clinical) End - FDS 78118944, DBS 40338,  TPM 515564, APM 139312, ML 72   00050                                                                                                                       
401 21/08/2009 ~ 14:53:54 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78118944, DBS 40338,  TPM 515564, APM 151620, ML 70   00050                                                                                                                     
402 21/08/2009 ~ 14:55:51 ~ SCOR-CvMS 9 (Clinical) End - FDS 78118944, DBS 40338,  TPM 515564, APM 139564, ML 72   00050                                                                                                                       
403 21/08/2009 ~ 14:57:04 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78118944, DBS 40338,  TPM 515564, APM 145340, ML 71   00050                                                                                                                     
404 21/08/2009 ~ 14:58:50 ~ SCOR-CvMS 9 (Clinical) End - FDS 78118944, DBS 40338,  TPM 515564, APM 133476, ML 74   00050                                                                                                                       
405 21/08/2009 ~ 15:02:51 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78118904, DBS 40338,  TPM 515564, APM 140544, ML 72   00050                                                                                                                     
406 21/08/2009 ~ 15:04:59 ~ SCOR-CvMS 9 (Clinical) End - FDS 78118784, DBS 40338,  TPM 515564, APM 118112, ML 77   00050                                                                                                                       
407 21/08/2009 ~ 16:02:24 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78118768, DBS 40338,  TPM 515564, APM 82792, ML 83   00050                                                                                                                      
408 21/08/2009 ~ 16:07:42 ~ SCOR-CvMS 9 (Clinical) End - FDS 78118736, DBS 40338,  TPM 515564, APM 156380, ML 69   00050                                                                                                                       
409 21/08/2009 ~ 16:12:55 ~ SCOR-CvMS 9 (Clinical) Start - FDS 78118768, DBS 40338,  TPM 515564, APM 176520, ML 65   00050                                                                                                                     
410 21/08/2009 ~ 16:13:42 ~ SCOR-CvMS 9 (Clinical) End - FDS 78118624, DBS 40338,  TPM 515564, APM 160852, ML 68   00050                                                                                                                       
411 24/08/2009 ~ 10:19:19 ~ SCOR-CvMS 9 (Clinical) Start - FDS 67596512, DBS 40338,  TPM 515564, APM 98456, ML 80   00050                                                                                                                      
412 24/08/2009 ~ 10:37:25 ~ SCOR-CvMS 9 (Clinical) End - FDS 67596512, DBS 40338,  TPM 515564, APM 115188, ML 77   00050                                                                                                                       
413 24/08/2009 ~ 11:01:28 ~ SCOR-CvMS 9 (Clinical) Start - FDS 67596448, DBS 40338,  TPM 515564, APM 150628, ML 70   00050                                                                                                                     
414 24/08/2009 ~ 11:13:44 ~ SCOR-CvMS 9 (Clinical) End - FDS 67596392, DBS 40338,  TPM 515564, APM 102772, ML 80   00050                                                                                                                       
415 24/08/2009 ~ 11:47:54 ~ SCOR-CvMS 9 (Clinical) Start - FDS 67596240, DBS 40338,  TPM 515564, APM 113080, ML 78   00050                                                                                                                     
416 24/08/2009 ~ 11:52:36 ~ SCOR-CvMS 9 (Clinical) End - FDS 67596144, DBS 40338,  TPM 515564, APM 88884, ML 82   00050                                                                                                                        
417 24/08/2009 ~ 14:09:29 ~ SCOR-CvMS 9 (Clinical) Start - FDS 67581648, DBS 40338,  TPM 515564, APM 187028, ML 63   00050                                                                                                                     
418 24/08/2009 ~ 14:41:56 ~ SCOR-CvMS 9 (Clinical) End - FDS 67552032, DBS 40338,  TPM 515564, APM 155296, ML 69   00050                                                                                                                       
419 24/08/2009 ~ 14:42:56 ~ SCOR-CvMS 9 (Clinical) Start - FDS 67552032, DBS 40338,  TPM 515564, APM 105364, ML 79   00050                                                                                                                     
420 24/08/2009 ~ 14:49:12 ~ SCOR-CvMS 9 (Clinical) End - FDS 67552032, DBS 40338,  TPM 515564, APM 128776, ML 75   00050                                                                                                                       
421 24/08/2009 ~ 14:50:59 ~ SCOR-CvMS 9 (Clinical) Start - FDS 67551400, DBS 40338,  TPM 515564, APM 145892, ML 71   00050                                                                                                                     
422 24/08/2009 ~ 15:23:58 ~ SCOR-CvMS 9 (Clinical) End - FDS 67551392, DBS 40338,  TPM 515564, APM 129544, ML 74   00050                                                                                                                       
423 24/08/2009 ~ 15:48:47 ~ SCOR-CvMS 9 (Clinical) Start - FDS 67551392, DBS 40338,  TPM 515564, APM 100328, ML 80   00050                                                                                                                     
424 24/08/2009 ~ 15:51:30 ~ SCOR-CvMS 9 (Clinical) End - FDS 67565488, DBS 40338,  TPM 515564, APM 81132, ML 84   00050                                                                                                                        
425 24/08/2009 ~ 15:52:20 ~ SCOR-CvMS 9 Start - FDS 67565488, DBS 40338,  TPM 515564, APM 96264, ML 81   00050                                                                                                                                 
426 24/08/2009 ~ 16:04:32 ~ Successful PWA measurement for Patient :684, Measurement :24/08/2009 4:04:30 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
427 24/08/2009 ~ 16:13:11 ~ SCOR-CvMS 9 End - FDS 67565520, DBS 40338,  TPM 515564, APM 83972, ML 83   00050                                                                                                                                   
428 24/08/2009 ~ 16:14:43 ~ SCOR-CvMS 9 Start - FDS 67565520, DBS 40338,  TPM 515564, APM 111608, ML 78   00050                                                                                                                                
429 24/08/2009 ~ 16:38:14 ~ SCOR-CvMS 9 End - FDS 67565520, DBS 40338,  TPM 515564, APM 80596, ML 84   00050                                                                                                                                   
430 25/08/2009 ~ 10:42:21 ~ SCOR-CvMS 9 Start - FDS 78576040, DBS 40338,  TPM 515564, APM 90476, ML 82   00050                                                                                                                                 
431 25/08/2009 ~ 11:07:51 ~ SCOR-CvMS 9 End - FDS 78574728, DBS 40338,  TPM 515564, APM 105392, ML 79   00050                                                                                                                                  
432 25/08/2009 ~ 11:10:14 ~ SCOR-CvMS 9 Start - FDS 78574720, DBS 40338,  TPM 515564, APM 161736, ML 68   00050                                                                                                                                
433 25/08/2009 ~ 11:59:42 ~ SCOR-CvMS 9 End - FDS 78572592, DBS 40338,  TPM 515564, APM 133064, ML 74   00050                                                                                                                                  
434 25/08/2009 ~ 12:16:37 ~ SCOR-CvMS 9 Start - FDS 78572496, DBS 40338,  TPM 515564, APM 129416, ML 74   00050                                                                                                                                
435 25/08/2009 ~ 12:17:48 ~ SCOR-CvMS 9 End - FDS 78571872, DBS 40338,  TPM 515564, APM 120288, ML 76   00050                                                                                                                                  
436 25/08/2009 ~ 13:54:34 ~ SCOR-CvMS 9 Start - FDS 78571744, DBS 40338,  TPM 515564, APM 230976, ML 55   00050                                                                                                                                
437 25/08/2009 ~ 14:12:16 ~ SCOR-CvMS 9 End - FDS 78121856, DBS 40338,  TPM 515564, APM 178648, ML 65   00050                                                                                                                                  
438 25/08/2009 ~ 14:14:52 ~ SCOR-CvMS 9 Start - FDS 77621840, DBS 40338,  TPM 515564, APM 161000, ML 68   00050                                                                                                                                
439 25/08/2009 ~ 14:16:28 ~ SCOR-CvMS 9 End - FDS 77365008, DBS 40338,  TPM 515564, APM 140356, ML 72   00050                                                                                                                                  
440 25/08/2009 ~ 14:17:18 ~ SCOR-CvMS 9 Start - FDS 77265280, DBS 40338,  TPM 515564, APM 160952, ML 68   00050                                                                                                                                
441 25/08/2009 ~ 14:17:44 ~ SCOR-CvMS 9 End - FDS 77225512, DBS 40338,  TPM 515564, APM 147820, ML 71   00050                                                                                                                                  
442 25/08/2009 ~ 14:22:09 ~ SCOR-CvMS 9 Start - FDS 77008040, DBS 40338,  TPM 515564, APM 158592, ML 69   00050                                                                                                                                
443 25/08/2009 ~ 14:29:44 ~ SCOR-CvMS 9 End - FDS 76821848, DBS 40338,  TPM 515564, APM 140508, ML 72   00050                                                                                                                                  
444 25/08/2009 ~ 14:31:13 ~ SCOR-CvMS 9 Start - FDS 76821840, DBS 40338,  TPM 515564, APM 157216, ML 69   00050                                                                                                                                
445 25/08/2009 ~ 14:39:01 ~ SCOR-CvMS 9 End - FDS 76821792, DBS 40338,  TPM 515564, APM 136840, ML 73   00050                                                                                                                                  
446 25/08/2009 ~ 14:56:11 ~ SCOR-CvMS 9 Start - FDS 76821440, DBS 40338,  TPM 515564, APM 119144, ML 76   00050                                                                                                                                
447 25/08/2009 ~ 14:59:24 ~ SCOR-CvMS 9 End - FDS 76821432, DBS 40338,  TPM 515564, APM 100816, ML 80   00050                                                                                                                                  
448 25/08/2009 ~ 15:22:57 ~ SCOR-CvMS 9 Start - FDS 76820128, DBS 40338,  TPM 515564, APM 149816, ML 70   00050                                                                                                                                
449 25/08/2009 ~ 15:26:28 ~ SCOR-CvMS 9 End - FDS 76820128, DBS 40338,  TPM 515564, APM 126708, ML 75   00050                                                                                                                                  
450 25/08/2009 ~ 15:27:56 ~ SCOR-CvMS 9 Start - FDS 76820128, DBS 40338,  TPM 515564, APM 143804, ML 72   00050                                                                                                                                
451 25/08/2009 ~ 15:31:26 ~ SCOR-CvMS 9 End - FDS 76820128, DBS 40338,  TPM 515564, APM 123128, ML 76   00050                                                                                                                                  
452 25/08/2009 ~ 15:32:40 ~ SCOR-CvMS 9 Start - FDS 76820128, DBS 40338,  TPM 515564, APM 139576, ML 72   00050                                                                                                                                
453 25/08/2009 ~ 15:37:17 ~ SCOR-CvMS 9 End - FDS 76820352, DBS 40338,  TPM 515564, APM 100828, ML 80   00050                                                                                                                                  
454 25/08/2009 ~ 15:38:28 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76820344, DBS 40338,  TPM 515564, APM 134440, ML 73   00050                                                                                                                     
455 25/08/2009 ~ 15:46:10 ~ SCOR-CvMS 9 (Clinical) End - FDS 76819968, DBS 40338,  TPM 515564, APM 118228, ML 77   00050                                                                                                                       
456 25/08/2009 ~ 15:46:36 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76819968, DBS 40338,  TPM 515564, APM 131120, ML 74   00050                                                                                                                     
457 25/08/2009 ~ 15:49:22 ~ SCOR-CvMS 9 (Clinical) End - FDS 76819848, DBS 40338,  TPM 515564, APM 108432, ML 78   00050                                                                                                                       
458 25/08/2009 ~ 15:50:22 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76819856, DBS 40338,  TPM 515564, APM 120408, ML 76   00050                                                                                                                     
459 25/08/2009 ~ 15:51:06 ~ SCOR-CvMS 9 (Clinical) End - FDS 76819728, DBS 40338,  TPM 515564, APM 111592, ML 78   00050                                                                                                                       
460 25/08/2009 ~ 15:51:46 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76819736, DBS 40338,  TPM 515564, APM 119768, ML 76   00050                                                                                                                     
461 25/08/2009 ~ 15:52:35 ~ SCOR-CvMS 9 (Clinical) End - FDS 76819648, DBS 40338,  TPM 515564, APM 111916, ML 78   00050                                                                                                                       
462 25/08/2009 ~ 15:57:46 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76819544, DBS 40338,  TPM 515564, APM 127684, ML 75   00050                                                                                                                     
463 25/08/2009 ~ 15:58:40 ~ SCOR-CvMS 9 (Clinical) End - FDS 76820944, DBS 40344,  TPM 515564, APM 110008, ML 78   00050                                                                                                                       
464 25/08/2009 ~ 16:00:15 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76818560, DBS 40344,  TPM 515564, APM 125748, ML 75   00050                                                                                                                     
465 25/08/2009 ~ 16:00:44 ~ SCOR-CvMS 9 (Clinical) End - FDS 76818552, DBS 40344,  TPM 515564, APM 107604, ML 79   00050                                                                                                                       
466 25/08/2009 ~ 16:01:07 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76818576, DBS 40344,  TPM 515564, APM 125320, ML 75   00050                                                                                                                     
467 25/08/2009 ~ 16:01:53 ~ Notification   Validation Error  (#316): Pulse Wave Velocity is negative, probably due to incorrect artery site selection. MeanDT = -22.1,  Patient :313, PWV Measurement :30/01/2009 5:07:24 PM, DataRevision :130
468 25/08/2009 ~ 16:01:55 ~ Warning   Validation Error  (#314): The Standard Deviation for the mean delta T used to calculate the Pulse Wave Velocity is too large. This could be as a result of a poor quality measurement.  MeanDt, Deviation
469 25/08/2009 ~ 16:02:02 ~ SCOR-CvMS 9 (Clinical) End - FDS 76818224, DBS 40362,  TPM 515564, APM 109836, ML 78   00050                                                                                                                       
470 25/08/2009 ~ 16:06:51 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76854352, DBS 40362,  TPM 515564, APM 124344, ML 75   00050                                                                                                                     
471 25/08/2009 ~ 16:08:35 ~ SCOR-CvMS 9 (Clinical) End - FDS 76854144, DBS 40370,  TPM 515564, APM 103392, ML 79   00050                                                                                                                       
472 25/08/2009 ~ 16:14:45 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76854128, DBS 40370,  TPM 515564, APM 121992, ML 76   00050                                                                                                                     
473 25/08/2009 ~ 16:14:58 ~ SCOR-CvMS 9 (Clinical) End - FDS 76854128, DBS 40370,  TPM 515564, APM 112928, ML 78   00050                                                                                                                       
474 25/08/2009 ~ 16:15:20 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76854128, DBS 40370,  TPM 515564, APM 120852, ML 76   00050                                                                                                                     
475 25/08/2009 ~ 16:16:03 ~ Successful PWA measurement for Patient :313, Measurement :25/08/2009 4:16:02 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
476 25/08/2009 ~ 16:16:10 ~ SCOR-CvMS 9 (Clinical) End - FDS 76854000, DBS 40380,  TPM 515564, APM 102964, ML 80   00050                                                                                                                       
477 25/08/2009 ~ 16:20:26 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76856712, DBS 40380,  TPM 515564, APM 120324, ML 76   00050                                                                                                                     
478 25/08/2009 ~ 16:21:00 ~ Successful PWA measurement for Patient :313, Measurement :25/08/2009 4:20:59 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
479 25/08/2009 ~ 16:21:06 ~ SCOR-CvMS 9 (Clinical) End - FDS 76858592, DBS 40388,  TPM 515564, APM 105180, ML 79   00050                                                                                                                       
480 25/08/2009 ~ 16:23:07 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76858608, DBS 40388,  TPM 515564, APM 118236, ML 77   00050                                                                                                                     
481 25/08/2009 ~ 16:23:40 ~ Successful PWA measurement for Patient :313, Measurement :25/08/2009 4:23:39 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
482 25/08/2009 ~ 16:23:46 ~ Error   EMR Error  (#1425): The Printer: TOSHIBA Black could not be found. Ensure a PDF Printer is installed and configured.  Please notify your IT Administrator of this error.                                   
483 25/08/2009 ~ 16:24:02 ~ SCOR-CvMS 9 (Clinical) End - FDS 76858560, DBS 40404,  TPM 515564, APM 103880, ML 79   00050                                                                                                                       
484 25/08/2009 ~ 16:26:19 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76858520, DBS 40404,  TPM 515564, APM 115236, ML 77   00050                                                                                                                     
485 25/08/2009 ~ 16:29:15 ~ SCOR-CvMS 9 (Clinical) End - FDS 76858416, DBS 40404,  TPM 515564, APM 95652, ML 81   00050                                                                                                                        
486 25/08/2009 ~ 16:29:59 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76858432, DBS 40404,  TPM 515564, APM 112980, ML 78   00050                                                                                                                     
487 25/08/2009 ~ 16:30:18 ~ Error   EMR Error  (#1425): The Printer: \\\\sws\\TOSHIBA Black could not be found. Ensure a PDF Printer is installed and configured.  Please notify your IT Administrator of this error.                          
488 25/08/2009 ~ 16:31:31 ~ SCOR-CvMS 9 (Clinical) End - FDS 76858424, DBS 40404,  TPM 515564, APM 101828, ML 80   00050                                                                                                                       
489 25/08/2009 ~ 16:31:57 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76858424, DBS 40404,  TPM 515564, APM 114168, ML 77   00050                                                                                                                     
490 25/08/2009 ~ 16:32:12 ~ SCOR-CvMS 9 (Clinical) End - FDS 76858416, DBS 40404,  TPM 515564, APM 99124, ML 80   00050                                                                                                                        
491 25/08/2009 ~ 16:33:58 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76858416, DBS 40404,  TPM 515564, APM 114108, ML 77   00050                                                                                                                     
